K,T_FPE
0.00630957344480193,19.653617818298887
0.008912509381337452,19.21357468587327
0.012589254117941668,18.659039197049704
0.017782794100389222,17.98584617712707
0.025118864315095794,17.21131390041773
0.03548133892335754,16.3812601377584
0.05011872336272722,15.565377167593637
0.07079457843841377,14.856570979374599
0.09999999999999998,14.363189776802308
0.14125375446227542,14.225088255956571
0.19952623149688795,14.653367640234544
0.28183829312644537,15.983027329994748
0.3981071705534972,18.551810345785157
0.5623413251903491,22.38861988891236
0.7943282347242815,27.509198435235277
1.1220184543019636,34.286491431969516
1.5848931924611136,43.514842730093434
2.23872113856834,56.72803524568975
3.1622776601683795,77.31770006488644
4.466835921509632,115.18975068512432
6.309573444801933,230.19225380382088
